Rowid_,FID,CD115FP,FREQUENCY,SUM_NDV,SUM_NRV,DEM_PERC,GOP_PERC
,0,1,718,241826.502239999940000,67017.996609999973000,0.783004078558804,0.216995921441195
,0,10,515,117579.788749999950000,178296.162210000100000,0.397395558403784,0.602604441596216
,0,11,456,138286.505560000050000,165395.280159999850000,0.455366479198402,0.544633520801597
,0,12,624,174450.457830000140000,180480.542339999690000,0.491505272141471,0.508494727858529
,0,13,548,212840.059189999830000,116761.940439999830000,0.645748689112709,0.354251310887291
,0,14,867,250284.854279999940000,108770.145959999950000,0.697065502813508,0.302934497186491
,0,15,324,154769.659160000070000,157610.341159999980000,0.495453162819179,0.504546837180821
,0,16,329,131478.663559999960000,167678.817350000060000,0.439496492483016,0.560503507516984
,0,17,442,165576.109970000140000,126891.939200000070000,0.566134011697658,0.433865988302342
,0,18,599,170683.617130000140000,181982.382869999800000,0.483980925663376,0.516019074336624
,0,2,828,338418.539409999040000,42220.460859999919000,0.889080044792962,0.110919955207038
,0,3,500,146597.760079999950000,164826.239830000030000,0.470733662538423,0.529266337461576
,0,4,292,130551.663070000040000,187204.337649999940000,0.410855067328971,0.589144932671029
,0,5,580,141502.621620000050000,164501.378199999920000,0.462420823594580,0.537579176405420
,0,6,313,168537.550230000020000,179013.560709999960000,0.484928820322763,0.515071179677237
,0,7,405,179935.760170000020000,193436.149460000100000,0.481920989579293,0.518079010420707
,0,8,340,188717.326730000090000,180829.673319999940000,0.510672057152315,0.489327942847685
,0,9,575,128123.114050000110000,160577.101020000000000,0.443792929004000,0.556207070996000